request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,trip_miles,trip_time,base_passenger_fare,tolls,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,VClass,co2TailpipeGpm,city08,fuelCost08,fuelType,pickup_day,co2_total_g,time_gap_sec,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,pickup_hour,hour_sin,hour_cos,dbscan_cluster
03/23/2023 07:47:27 AM,,2023-03-23 08:10:56,2023-03-23 08:43:07,41,119,4.162,,14.78,0.0,0.0,0.0,0.0,Y,Y,N,Sedans,398.4274776507146,22.61856145435384,2199.7760505862207,Premium,Thursday,1658.255161982274,8.0,232321.2905475168,997734.6452331402,244528.83953167716,1004682.7553744144,8,0.8660254037844387,-0.4999999999999998,0
04/08/2023 02:40:11 AM,04/08/2023 02:41:03 AM,2023-04-08 02:42:26,2023-04-08 03:22:14,141,18,7.72,,30.26,0.0,0.0,0.0,30.63,Y,Y,,Sedans,398.4274776507146,22.61856145435384,2199.7760505862207,Premium,Saturday,3075.8601274635166,23.0,218699.1927268597,995431.1975186544,255416.7421530116,1014623.3272763422,2,0.49999999999999994,0.8660254037844387,1
07/15/2023 02:36:05 PM,07/15/2023 02:43:56 PM,2023-07-15 14:43:56,2023-07-15 15:07:23,134,132,9.22,,23.09,0.0,2.5,0.0,18.04,Y,Y,,SUV,511.290034956564,16.200269905533062,2587.1255060728745,Regular,Saturday,4714.094122299521,33.0,197284.97927258155,1031739.002250162,175062.67758486557,1043488.1868617045,14,-0.4999999999999997,-0.8660254037844388,-1
04/17/2023 06:18:40 PM,04/17/2023 06:26:09 PM,2023-04-17 18:28:09,2023-04-17 18:47:17,220,50,5.1,,18.89,1.5,0.0,0.0,12.33,Y,Y,,SUV,511.290034956564,16.200269905533062,2587.1255060728745,Regular,Monday,2607.5791782784763,34.0,260773.7150891078,1008953.1291249456,218437.82028573463,985597.5343919232,18,-1.0,-1.8369701987210297e-16,7
07/11/2023 07:00:58 PM,07/11/2023 07:04:00 PM,2023-07-11 19:04:27,2023-07-11 19:44:42,144,223,7.9,,31.75,0.0,0.0,0.0,27.88,Y,Y,,SUV,511.290034956564,16.200269905533062,2587.1255060728745,Regular,Tuesday,4039.191276156856,25.0,201915.7902757445,985104.1485227022,222528.47602007707,1010448.2493393868,19,-0.9659258262890684,0.2588190451025203,2
07/23/2023 05:18:41 AM,07/23/2023 05:28:55 AM,2023-07-23 05:29:06,2023-07-23 06:09:11,137,51,17.18,,32.74,6.55,0.0,0.0,40.2,Y,Y,,Sedans,398.4274776507146,22.61856145435384,2199.7760505862207,Premium,Sunday,6844.9840660392765,54.0,209039.3538898732,990763.615736023,257736.0317728284,1031744.9710915012,5,0.9659258262890683,0.25881904510252074,3
01/13/2023 03:24:46 PM,,2023-01-13 15:43:32,2023-01-13 15:52:53,243,116,2.952,561.0,10.6,0.0,0.0,2.0,0.0,Y,Y,N,SUV,511.290034956564,16.200269905533062,2587.1255060728745,Regular,Friday,1509.3281831917768,11.0,251552.22868853091,1002830.5879831794,240584.4096847475,998496.7141201992,15,-0.7071067811865471,-0.7071067811865479,4
02/03/2023 07:15:41 PM,,2023-02-03 19:33:37,2023-02-03 20:08:24,41,169,6.587,,36.88,0.0,0.0,0.0,0.0,Y,Y,N,SUV,511.290034956564,16.200269905533062,2587.1255060728745,Regular,Friday,3367.867460258887,3.0,232321.2905475168,997734.6452331402,248626.50066211305,1010498.8966177456,19,-0.9659258262890684,0.2588190451025203,2
12/13/2023 10:39:58 AM,12/13/2023 10:45:31 AM,2023-12-13 10:45:52,2023-12-13 11:34:38,137,61,9.98,,28.48,0.0,0.0,0.0,32.09,Y,Y,N,Sedans,398.4274776507146,22.61856145435384,2199.7760505862207,Premium,Wednesday,3976.306226954132,6.0,209039.3538898732,990763.615736023,185009.7476950033,1001091.0141538236,10,0.49999999999999994,-0.8660254037844387,5
05/11/2023 10:59:46 PM,05/11/2023 11:05:10 PM,2023-05-11 23:05:42,2023-05-12 00:02:32,163,152,5.01,,29.04,0.0,0.0,20.0,27.96,Y,Y,,SUV,511.290034956564,16.200269905533062,2587.1255060728745,Regular,Thursday,2561.5630751323856,3.0,217776.88244811285,990463.7954353758,237290.9067861937,997042.6288289689,23,-0.25881904510252157,0.9659258262890681,6
