request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,trip_miles,trip_time,base_passenger_fare,tolls,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,VClass,co2TailpipeGpm,city08,fuelCost08,fuelType,pickup_day,co2_total_g,time_gap_sec,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,pickup_hour,hour_sin,hour_cos,hier_cluster
01/13/2023 03:24:46 PM,,2023-01-13 15:43:32,2023-01-13 15:52:53,243,116,2.952,561.0,10.6,0.0,0.0,2.0,0.0,Y,Y,N,SUV,511.290034956564,16.200269905533062,2587.1255060728745,Regular,Friday,1509.3281831917768,11.0,251552.22868853091,1002830.5879831794,240584.4096847475,998496.7141201992,15,-0.7071067811865471,-0.7071067811865479,9
11/02/2023 01:01:10 AM,11/02/2023 01:07:06 AM,2023-11-02 01:07:34,2023-11-02 01:22:17,145,83,2.98,883.0,6.97,0.0,0.0,0.0,8.26,Y,Y,N,Sedans,398.4274776507146,22.61856145435384,2199.7760505862207,Premium,Thursday,1187.3138833991295,5.0,210842.5649406597,998411.74313442,208286.3127456639,1014131.0479577216,1,0.25881904510252074,0.9659258262890683,3
12/27/2023 04:54:32 PM,12/27/2023 05:02:19 PM,2023-12-27 17:02:49,2023-12-27 17:13:24,263,168,2.33,635.0,10.72,0.0,0.0,0.0,4.62,Y,Y,N,Sedans,398.4274776507146,22.61856145435384,2199.7760505862207,Premium,Wednesday,928.336022926165,44.0,223005.98840944967,997817.919661102,233426.31053268496,1007276.655262574,17,-0.9659258262890683,-0.25881904510252063,9
02/20/2023 10:49:08 PM,,2023-02-20 22:55:58,2023-02-20 23:07:55,41,7,4.243,717.0,11.34,0.0,0.0,0.0,0.0,Y,Y,N,Sedans,398.4274776507146,22.61856145435384,2199.7760505862207,Premium,Monday,1690.5277876719822,6.0,232321.2905475168,997734.6452331402,216719.21816867893,1006496.6791586808,22,-0.5000000000000004,0.8660254037844384,24
04/24/2023 12:57:08 AM,04/24/2023 01:03:44 AM,2023-04-24 01:04:41,2023-04-24 01:20:10,143,75,2.84,929.0,15.27,0.0,0.0,2.09,10.03,Y,Y,,Sedans,398.4274776507146,22.61856145435384,2199.7760505862207,Premium,Monday,1131.5340365280294,86.0,221982.08549339892,987671.7097013488,227103.7596245498,999272.1113831652,1,0.25881904510252074,0.9659258262890683,3
08/29/2023 06:58:50 AM,08/29/2023 07:05:47 AM,2023-08-29 07:05:49,2023-08-29 07:21:46,143,166,2.99,957.0,11.34,0.0,0.0,0.0,8.27,Y,Y,,SUV,511.290034956564,16.200269905533062,2587.1255060728745,Regular,Tuesday,1528.7572045201264,9.0,221982.08549339892,987671.7097013488,234186.3268721064,994834.7872526807,7,0.9659258262890683,-0.25881904510252063,21
09/28/2023 09:58:30 PM,09/28/2023 09:59:11 PM,2023-09-28 21:59:43,2023-09-28 22:13:56,188,72,2.28,853.0,4.47,0.0,0.0,0.0,5.51,Y,Y,,Sedans,398.4274776507146,22.61856145435384,2199.7760505862207,Premium,Thursday,908.4146490436292,2.0,179279.2193722589,998832.3808813528,176959.91492476902,1005823.7039946364,21,-0.7071067811865477,0.7071067811865474,1
08/20/2023 06:16:05 PM,08/20/2023 06:20:23 PM,2023-08-20 18:22:23,2023-08-20 18:32:41,75,262,1.64,618.0,9.69,0.0,0.0,0.0,4.15,Y,Y,,Sedans,398.4274776507146,22.61856145435384,2199.7760505862207,Premium,Sunday,653.4210633471719,15.0,227103.7596245498,999272.1113831652,221974.400787808,999064.725082434,18,-1.0,-1.8369701987210297e-16,25
07/01/2023 03:41:17 AM,07/01/2023 03:49:07 AM,2023-07-01 03:49:46,2023-07-01 04:02:35,80,36,2.25,769.0,15.08,0.0,0.0,0.0,15.99,Y,Y,,Minivans,449.4774043000213,17.906183368869936,2164.6055437100213,Regular,Saturday,1011.324159675048,22.0,199911.28634464616,1001771.8842984998,194506.2645740725,1007067.3784547452,3,0.7071067811865475,0.7071067811865476,22
07/10/2023 01:51:38 AM,07/10/2023 01:53:27 AM,2023-07-10 01:53:31,2023-07-10 02:09:58,237,7,4.26,987.0,13.21,0.0,0.0,2.19,9.05,Y,Y,,SUV,511.290034956564,16.200269905533062,2587.1255060728745,Regular,Monday,2178.0955489149624,26.0,219305.82782555217,993769.0237137816,216719.21816867893,1006496.6791586808,1,0.25881904510252074,0.9659258262890683,3
